id,work_type
az9046IJOM-1,Private Sector
kgw51676N-1,Self-employed
gy31112PM-1,Private
fwz60182X-1,Privte sector
xc1665WZT-1,Entrepreneur
b56669OW-1,Privte sector
fzb53882M-1,Privte sector
ub10434IJY-1,Private Sector
ot27419T-1,Privte sector
t60491FZHQ-1,Private Sector
vu12109FL-1,private sector
eg12095OHPF-1,NYC DOHMH
vgi12175W-1,private sector
u8213IMEQ-1,private sector
uwy5317MI-1,private sector
cma58202O-1,Freelancer
ej56112KD-1,Private Sector
h34120SB-1,private sector
jph27458KY-1,Privte sector
tlg25226IZ-1,DOHMH
gy70630OWLH-1,Albany Health Dept
kws13861NSP-1,restaurant owner
kz68794B-1,Entrepreneur
ua64778XRB-1,Private
m4219IN-1,Private
df70822UYW-1,free-lancer
nf38047HUL-1,Private Sector
jy61843GMB-1,Private
d54827L-1,Self-employed
kzo69160YV-1,Privte sector
mdx43717CGOQ-1,Private Sector
o33879AEG-1,private sector
yhl39373U-1,free-lancer
f54401AYDK-1,free-lancer
ghj14248D-1,US Government
pg712WY-1,Privte sector
h47269XNRU-1,Private Sector
fz24977RJ-1,Private
rmn47306SKYL-1,Private Sector
cjq62602MLID-1,Private Sector
mu4651SVQE-1,private sector
nwm1261UK-1,Privte sector
cv61960VZQ-1,private sector
j1845UZJ-1,Private
qs7937UH-1,USAID
s19824O-1,Private
y37937ZO-1,free-lancer
g47472AOBI-1,Private
di35626W-1,Entrepreneur
tal36338RG-1,Privte sector
zv18587RT-1,Privte sector
db15102P-1,Private Sector
dtw59190IK-1,private sector
lh47167FTH-1,Freelancer
dw8752GUP-1,DOHMH
e25831SIA-1,private sector
m38829YHEA-1,Private Sector
x66400SEZ-1,Private Sector
mf58631DS-1,entreprener
rju5111T-1,USAID
fae10710P-1,private sector
xc55927VUW-1,private sector
gam65842ZUL-1,entreprener
h19557RJBQ-1,private sector
xg7356J-1,private sector
we17013O-1,Privte sector
pw17004LIS-1,Privte sector
i72366P-1,Privte sector
wo6118UA-1,Privte sector
iq7371ZAOT-1,Self-employed
i70676BG-1,Department of Health
f2326PTS-1,private sector
i27169JC-1,DOHMH
vt50784OLR-1,private sector
kj19773FLWU-1,Private Sector
qnk66159O-1,Freelancer
q36236XMRS-1,Privte sector
pic71673JKB-1,private sector
v45805MX-1,Private Sector
k42117WTQU-1,Freelancer
bh57419G-1,Privte sector
c26015KJSF-1,entreprener
g26727JQX-1,private sector
qp66638G-1,Restaurant owner
e70042YER-1,Privte sector
ps32399NJC-1,Private
icu3253F-1,Private
zb71796E-1,Private
hdp14499SFB-1,private sector
qpt49130MB-1,Private
u28291KJGR-1,Privte sector
g51169RAVL-1,Private
kl66315WYZN-1,free-lancer
e37726MOSD-1,free-lancer
mpa54385SO-1,private sector
vl2458BF-1,Private
jxf35512CQV-1,Self employed
og56841S-1,Private
e8154QB-1,DoHMH
c4639X-1,DoHMH
u12363KD-1,DOHMH
fa63973FEZ-1,NYC DOHMH
u45277VOM-1,Private
n4712E-1,Self employed
i33175GVQY-1,NYS OMH
d2346STAV-1,Private
cd42072B-1,private sector
ni12062PT-1,free-lancer
amo30456Y-1,private sector
gnc59125TQ-1,Albany Health Dept
jn56546GZ-1,Privte sector
ojh48405C-1,Private
xl36706C-1,Entrepreneur
xrz41069NCYV-1,Private Sector
foi71639CV-1,NYS Office of Mental Health
o53401VKD-1,NYC DOHMH
nc60744BTEC-1,entreprener
dg7547CVZB-1,private sector
ojz31720EHM-1,entreprener
trf5563JLSH-1,Privte sector
zlc68798KS-1,Private
y72918QO-1,Privte sector
ls13491XYHG-1,Privte sector
b44033N-1,Privte sector
dij14164B-1,Private
o50522Y-1,NYS OMH
u3352CZH-1,Restaurant owner
d70943DNS-1,Private Sector
b37132EM-1,Albany Health Dept
a48796WR-1,Department of Health
dbz53440S-1,Privte sector
cwh16817CMF-1,Private Sector
now69551ARS-1,Private
mdp31563YGW-1,Private
sem20387JGBS-1,restaurant owner
s71279RUSF-1,Department of Health
ab55824V-1,Private Sector
uz11762PC-1,Private
jgm29281IBQ-1,Restaurant owner
c30683BQNT-1,private sector
u20439UX-1,NYS Office of Mental Health
i45965CYXI-1,Privte sector
yb8045FVW-1,Private Sector
jl37651SLH-1,Entrepreneur
el17308T-1,private sector
oj67981ON-1,Private Sector
x41241PBM-1,entreprener
ed62861PDH-1,Private Sector
qy72081PT-1,US Government
w58978U-1,Private Sector
gd11933TDEI-1,private sector
r46703DBAK-1,Privte sector
e32503GYK-1,entreprener
yve12482OW-1,Self employed
pj56939QL-1,Freelancer
qcj24669WC-1,Private Sector
xwu43054PD-1,Privte sector
cvk59437XYI-1,Private
tuc66258IEY-1,Entreprenur
lo34567VSO-1,Freelancer
kv50931JO-1,Private Sector
ra16590MES-1,Privte sector
r69768XYR-1,children
bn20426ZH-1,Privte sector
xt3512TQB-1,Entrepreneur
hc42899G-1,Entreprenur
eqt63453BGKD-1,DOHMH
g43364V-1,Private
s44993RY-1,ALbany Health Department
jiz210O-1,free-lancer
cb28939SAL-1,Self employed
zg60739BC-1,Entreprenur
z67432HZR-1,Privte sector
av2182PCUS-1,Entrepreneur
o40899ARMB-1,Entrepreneur
nw14431RPZX-1,Self-Employed
hjc62466M-1,Private
ocy36841PML-1,Self-employed
jt33486WT-1,NYC DOHMH
r65105CL-1,Privte sector
wbl54567AFMW-1,Private Sector
v66204YXQO-1,Private Sector
w39912BQ-1,Private
i8003SR-1,private sector
ck28378U-1,private sector
ex41081UJ-1,Private Sector
bmx16077WRFG-1,Self-employed
cob67895PY-1,NYC DOHMH
gjs30184IQVB-1,Private Sector
pcx66955F-1,Private Sector
kpo24905P-1,Private
cu66071ETHJ-1,Privte sector
o36255YSV-1,Self-employed
au69112FQS-1,Private
r23410LJS-1,Private Sector
y64373HMQX-1,Private Sector
x58267LF-1,Privte sector
aup35684OIT-1,Private Sector
qfu18937HS-1,Private Sector
xsf491XLQ-1,Entrepreneur
ybk54695O-1,Private
rzl68627NJ-1,Private Sector
izo8580NMK-1,Entrepreneur
wgj28484MJDA-1,Entreprenur
atv62019ORHL-1,DOHMH
w51314JAOW-1,private sector
kbx37060N-1,Private Sector
u35578WR-1,restaurant owner
w54921YMUN-1,Freelancer
pe33454KV-1,USAID
xk33943AZVL-1,Private
ps62439XYON-1,Albany Health Dept
jd31179U-1,Private Sector
y66866C-1,Private
ux2548WYZ-1,Self employed
sl68025EF-1,Private Sector
v2390Q-1,Restaurant owner
jby29552SGYZ-1,private sector
f25904EXB-1,restaurant owner
gvq31421LE-1,DoHMH
fy20463JWS-1,Privte sector
zdp68023ODWJ-1,Privte sector
e12689ASC-1,US Govcernment
h54724A-1,NYC DOHMH
odh8899BXE-1,Privte sector
wyb39186JC-1,Private Sector
suy32729VOMC-1,private sector
jf39105B-1,Self-employed
em31154ZN-1,Freelancer
ec69959QUYG-1,Private
kvm10552Q-1,free-lancer
y12917KNOQ-1,Private
lv68356RHO-1,Self-employed
d23368SFWD-1,Self employed
gth25974DJZ-1,Freelancer
syc1210UAPZ-1,Private
rk28493DRKU-1,Private
bq36857WB-1,Self-Employed
cmy1836EN-1,Private Sector
pv32221BNXG-1,Private Sector
ga10548LI-1,Privte sector
q52282EA-1,Privte sector
ed45535UKGJ-1,private sector
g40460DOG-1,Privte sector
yqi17739AFNV-1,Private Sector
xz49669S-1,children
fhu27153C-1,Self-employed
m34060B-1,entreprener
t43424OX-1,private sector
zgk30669YWRH-1,children
f30468VTE-1,private sector
lxi16523C-1,Private Sector
pul56543MF-1,Private Sector
tdi46136BL-1,caretaking
t32257MJQY-1,Private Sector
ew52800R-1,Privte sector
kv41413BXKL-1,Self-Employed
lgu15266XM-1,Privte sector
pic28674MBY-1,Entreprenur
eoz10460UW-1,DOHMH
tur64908EUYT-1,Private Sector
uos63884DX-1,private sector
hit37893JF-1,Private Sector
j67855UOWP-1,Privte sector
ytj25774JSOL-1,Private Sector
ig19584UF-1,Private Sector
cq24447VPNY-1,Private
s49589AEDN-1,NYS Office of Mental Health
sy17986ROW-1,Entrepreneur
x29217UR-1,private sector
jwy72911J-1,Private
x47175CI-1,Privte sector
nv4057Y-1,private sector
i48588WUD-1,Private
vol70336PW-1,private sector
bdy66767YAU-1,Department of Health
l45801WZA-1,Private
u36275ZSUH-1,Privte sector
dw11577PTEG-1,free-lancer
u67210FH-1,Freelancer
gk29908AX-1,private sector
i45222K-1,private sector
ji33759V-1,children
nd40311IBNR-1,Private
l26325C-1,NYS OMH
y65460IDP-1,Private Sector
iok36811CLN-1,private sector
op71750VOI-1,Privte sector
