study_id,age,gender
39,32,male
124,20,female
67,34,female
152,19,female
168,28,female
129,46,female
38,35,female
63,26,female
116,34,male
89,32,female
136,40,female
3,52,female
198,39,male
191,34,female
84,36,female
98,21,male
69,34,female
10,31,female
197,22,female
142,34,male
14,38,male
179,26,female
9,31,female
147,21,female
50,47,male
173,20,male
46,39,female
183,24,female
120,56,female
175,27,male
127,33,female
156,48,male
169,56,female
31,36,male
7,31,female
56,46,male
78,33,male
107,48,female
51,39,female
79,32,male
36,41,female
187,32,female
111,53,female
157,43,female
19,27,male
86,33,female
47,31,male
99,22,female
196,21,male
185,40,male
62,53,female
121,49,male
109,25,female
16,31,male
145,35,male
105,46,male
177,32,male
44,26,female
102,29,male
195,28,female
53,29,male
162,30,male
113,30,male
114,49,male
180,29,female
159,59,female
5,38,female
37,21,female
138,32,female
87,40,male
167,34,male
18,40,female
161,26,female
73,22,female
171,22,male
25,25,female
77,27,female
80,46,female
32,47,female
172,32,male
130,26,male
189,44,female
193,36,female
42,31,female
122,22,female
95,36,male
123,32,female
59,43,female
199,53,female
29,43,male
8,22,female
151,29,male
72,49,female
20,57,female
93,34,male
163,49,female
192,20,male
92,27,male
153,46,male
75,20,male
141,27,female
190,27,male
101,53,male
45,43,female
6,39,female
90,37,female
154,46,female
76,21,female
104,46,male
66,34,male
115,34,male
43,31,female
57,22,male
178,46,female
96,35,male
137,26,female
68,21,male
188,37,male
85,24,male
135,33,female
11,36,male
49,39,female
26,38,male
160,53,female
144,36,female
34,39,female
194,35,male
70,28,male
118,34,male
17,48,female
48,30,male
54,19,male
88,26,female
110,59,female
35,34,male
74,32,male
126,27,male
148,22,female
91,44,female
13,40,female
