id,borough,rent,commute
1,Queens,3550,29.099999999999998
2,Staten Island,4000,35.3
3,Queens,3200,33.5
4,Bronx,2850,28.8
5,ManhaTtaN,1950,22.2
6,Bronx,3000,41.3
7,Brooklyn,3000,27.5
8,Queens,4000,30.1
9,Brooklyn,2700,24.7
10,Bronx,2450,33.2
11,Manhattan,3900,13.099999999999998
12,Queens,1350,33.400000000000006
13,Bronx,2150,46.8
14,Staten  island,3250,41.4
15,Queens,1550,39.699999999999996
16,Bronx,3300,29.299999999999997
17,Brooklyn,3900,26.4
18,Staten  island,1350,43.4
19,Queens,3450,29.6
20,Queens,3300,29.9
21,Staten  island,1100,49.4
22,Queen,3150,30
23,Staten Island,2700,41.6
24,St4ten Isl4nd,1900,55.199999999999996
25,Queens,1200,38
26,M4nh4tt4n,2350,14.8
27,M4nh4tt4n,3400,9.299999999999999
28,Brooklyn,3200,28.9
29,M4nh4tt4n,2700,1.0999999999999996
30,Bronxx,3050,33.199999999999996
31,St4ten Isl4nd,2250,37.6
32,Bronx,1700,37.1
33,Queens,2750,29
34,Bronx,2150,27.799999999999997
35,Bronx,1350,39.1
36,St4ten Isl4nd,2750,36.9
37,Queens,3550,33
38,Brookly n,3150,26
39,St4ten Isl4nd,1800,45
40,Queens,1500,45.7
41,M4nh4tt4n,1250,22.2
42,Bronxx,3250,36.7
43,Queen,2150,35.6
44,Manhattan,2700,18.8
45,Bronx,3550,29.299999999999997
46,Manhattan,3800,10.299999999999997
47,Staten Island,2100,54.1
48,Bronx,1750,38
49,Staten Island,1500,44.7
50,Queens,3100,36.7
51,Bronx,3250,36.7
52,ManhaTtaN,2500,26.1
53,Bronx,3250,27.2
54,Brooklyn,2000,11.5
55,Staten  island,1500,48.9
56,ManhaTtaN,3600,10.8
57,ManhaTtaN,2250,24.6
58,Brooklyn,2100,39.1
59,Staten Island,3200,48.2
60,Brooklyn,3800,20.599999999999998
61,Queens,2600,34.1
62,Queens,3200,45.1
63,Brooklyn,1800,21.200000000000003
64,Brooklyn,3700,19.3
65,Queens,1450,44.800000000000004
66,Brooklyn,1200,24.200000000000003
67,Queens,3650,34.3
68,Staten Island,3750,52
69,Manhattan,3650,11.7
70,Bronx,4000,39.4
71,Manhattan,2850,22.700000000000003
72,Manhattan,1400,24.9
73,Staten Island,2350,51
74,Manhattan,4000,5.6
75,Staten Island,2200,42
76,Queens,1300,34.199999999999996
77,Queen,1500,37.9
78,Brooklyn,2200,34.4
79,Brooklyn,1350,34.9
80,Manhattan,3100,13.8
81,Queens,3350,36.6
82,Manhattan,3850,8.3
83,Br0nx,1100,41.9
84,Br0oklyn,1000,26.9
85,Staten Island,3250,48.3
86,Staten Island,1850,42.9
87,Manhattan,1800,12.200000000000001
88,Staten Island,1600,54.4
89,Staten Island,1050,57.4
90,Manhattan,3850,8.600000000000001
91,Br0nx,3000,45.8
92,Manhattan,3700,18
93,Bronx,2650,37.8
94,Staten Island,3650,34.6
95,Brooklyn,3350,14.000000000000002
96,Manhattan,1850,17.8
97,Queens,2550,33.5
98,Manhattan,1900,24.299999999999997
99,Brooklyn,2200,23.6
100,Staten Island,1850,52.300000000000004
